Object/Custom Metadata Type Field Label is Located On,Object/Custom Metadata Type Field API Name is Located On,Field Label,Field API Name,Data Type,Field Description,Should Carry Over Values or Mappings from Object/Metadata Table,Should Carry Over Values or Mappings from Object/Metadata Table API Name,Expected Automation Behavior,Behavior Needs to Occur When?,Current Flow API Name with Expected Automation Behavior,Flow Version,Process Type,Trigger,Flow Triggering Autolaunch Flow?,Trigger Flow Version
Automation Toggle,Automation_Toggles__mdt,Disable RLM Automation,Disable_RLM_Automation__c,Checkbox,Disables all RLM Automation,,,"GET RECORDS: Metadata Record Name = Default

DECISON: Has the Automation been Disabled?
EQUALS TRUE Ends Automation
EQUALS FALSE Continues to Next Flow Step",Record Creation or Record Update,,,,,,
Automation Toggle,Automation_Toggles__mdt,Disable_Order_Automation,Disable_Asset_Automation__c,Checkbox,Disables all Contract Automation,,,"GET RECORDS: Metadata Record Name = Default

DECISON: Has the Automation been Disabled?
EQUALS TRUE Ends Automation
EQUALS FALSE Continues to Next Flow Step",Record Creation or Record Update,,,,,,
Automation Toggle,Automation_Toggles__mdt,Disable_Hardware_Only_Contract_Automation,Disable_Hardware_Only_Asset_Automation,Checkbox,Disables only Hardware Contracts,QuoteLineItem.Hardware Product?,QuoteLineItem.Hardware_Product__c,"GET RECORDS: Metadata Record Name = Default

DECISON: Has the Automation been Disabled?
EQUALS TRUE Ends Automation
EQUALS FALSE Continues to Next Flow Step",Record Creation or Record Update,,,,,,
Asset,Asset,Hardware Order,Hardware_Order__c,Checkbox,Tracks if this Asset is Hardware Order,QuoteLineItem.Hardware Product?,QuoteLineItem.Hardware_Product__c,Should be the same as the original Quote Line Item that created the Asset,Record Creation Only,,,,,,
Asset,Asset,Automatically Renew,DoesAutomaticallyRenew,Checkbox,Tracks if Asser Auto Renews,QuoteLineItem.Automatically Renew,QuoteLineItem.DoesAutomaticallyRenew,Should be the same as the original Quote Line Item that created the Asset,Record Creation Only,,,,,,
Asset,Asset,Contains Partner Subscriptions?,Contains_Partner_Subscriptions__c,Checkbox,Tracks if Asset is a Partner Subscription,QuoteLineItem.Partner Subscription,QuoteLineItem.Partner_Subscription__c,"Should be the same as the original Quote Line Item that created the Asset

Asset.Partner_Subscription__c where QuoteLineItem.Partner_Subscription__c EQUALS TRUE should NOT be created as Asset Records. They should ONLY show up in the Partner Subscription related list on the Contract record with the following information:
- Partner Subscription Name
- Product Name
- Quantity
- Opportunity
- Quote
- Quote Line Item
- Order
- Order Item
- Contract
- Asset

Do_Not_Sync__c MUST be checked for these Assets",,,,,,,
Partner Subscription,Partner_Subscription__c,Asset,Asset__c,Lookup(Asset),Links PartnerSubscription to Asset (Related List),Asset,Asset,"Should be the same as the original Quote Line Item that created the Asset

Asset.Partner_Subscription__c where QuoteLineItem.Partner_Subscription__c EQUALS TRUE should NOT be created as Asset Records. They should ONLY show up in the Partner Subscription related list on the Contract record with the following information:
- Partner Subscription Name
- Product Name
- Quantity
- Opportunity
- Quote
- Quote Line Item
- Order
- Order Item
- Contract
- Asset

Do_Not_Sync__c MUST be checked for these Assets",Record Creation Only,,,,,,
Asset,Asset,Legacy,Legacy__c,Checkbox,Identifies if Asset is a Legacy record,QuoteLineItem.Legacy,QuoteLineItem.Legacy__c,Should be the same as the original Quote Line Item that created the Asset,Record Creation Only,,,,,,
Asset,Asset,ARR,ARR__c,Currency,Asset ARR,QuoteLineItem.ARR,QuoteLineItem.ARR__c,Should be the same as the original Quote Line Item that created the Asset,Record Creation Only,,,,,,
Asset,Asset,Billing Frequency,Billing_Frequency__c,Picklist,Asset Billing Frequency,QuoteLineItem.Billing Frequency,QuoteLineItem.BillingFrequency__c,Should be the same as the original Quote Line Item that created the Asset,Record Creation Only,,,,,,
