Object/Custom Metadata Type Field Label is Located On,Object/Custom Metadata Type Field API Name is Located On,Field Label,Field API Name,Data Type,Field Description,Should Carry Over Values or Mappings from Object/Metadata Table,Should Carry Over Values or Mappings from Object/Metadata Table API Name,Expected Automation Behavior,Behavior Needs to Occur When?,Current Flow API Name with Expected Automation Behavior,Flow Version,Process Type,Trigger,Flow Triggering Autolaunch Flow?,Trigger Flow Version
Automation Toggle,Automation_Toggles__mdt,Disable RLM Automation,Disable_RLM_Automation__c,Checkbox,Disables all RLM Automation,,,"GET RECORDS: Metadata Record Name = Default

DECISON: Has the Automation been Disabled?
EQUALS TRUE Ends Automation
EQUALS FALSE Continues to Next Flow Step",Record Creation or Record Update,RTF_Quote_Start_Techvera_Lifecycle,2,Autolaunched Flow,Record—Run After Save,,
Automation Toggle,Automation_Toggles__mdt,Disable_Quote_Automation,Disable_Quote_Automation__c,Checkbox,Disables all Quote Automation,,,"GET RECORDS: Metadata Record Name = Default

DECISON: Has the Automation been Disabled?
EQUALS TRUE Ends Automation
EQUALS FALSE Continues to Next Flow Step",Record Creation or Record Update,RTF_Quote_Start_Techvera_Lifecycle,2,Autolaunched Flow,Record—Run After Save,,
Automation Toggle,Automation_Toggles__mdt,Disable_Hardware_Only_Quote_Automation,Disable_Hardware_Only_Quote_Automation__c,Checkbox,Disables only Hardware Quotes,Quote.Hardware Quote,Quote.Hardware_Quote__c,"GET RECORDS: Metadata Record Name = Default

DECISON: Has the Automation been Disabled?
EQUALS TRUE Ends Automation
EQUALS FALSE Continues to Next Flow Step",Record Creation or Record Update,,,,,,
Quote,Quote,Account Name,AccountId,Lookup(Account),Links Quote to Account,Opportunity.Account Name,Opportunity.AccountId,Connect Quote to Account (expected Salesforce Behavior),Record Creation Only,,,,,,
Quote,Quote,Account for Quote,QuoteAccountId,Lookup(Account),Links Quote to Account,Opportunity.Account Name,Opportunity.AccountId,Connect Quote to Account (expected Salesforce Behavior),Record Creation Only,,,,,,
Quote,Quote,Opportunity Name,OpportunityId,Master-Detail(Opportunity),Links Quote to Opportunity,Opportunity.Name,Opportunity.Id,Connect Quote to Opportunity (expected Salesforce Behavior),Record Creation Only,,,,,,
Quote,Quote,Contact Name,ContactId,Lookup(Contact),Links Quote to Contact,Opportunity Contact Role,OpportunityContactRole,Connects Quote to Contact (expected Salesforce Behavior),Record Creation Only,,,,,,
Quote,Quote,Bill To Contact,BillToContactId,Lookup(Contact),Links Quote to Billing Contact,Opportunity Contact Role,OpportunityContactRole,Connects Quote to Billing Contact (expected Salesforce Behavior),Record Creation Only,,,,,,
Quote,Quote,Pricebook,Pricebook2Id,Lookup(Pricebook2),Links Quote to Standard Pricebook2,Pricebook2 Standard Pricebook,Pricebook2.Id,Standard Pricebook2 Id = 01sao000003VWRhAAO,Record Creation Only,Create_Initial_Quote_Techvera_Lifecycle,3,"
Autolaunched No Trigger Flow",,,
Quote,Quote,Contract,ContractId,Lookup(Contract),Links Quote to related Contract,Contract.Name,Contract.Id,Should populate once the related Contract has been generated,,,,,,,
Quote,Quote,Master Contract,Master_Contract__c,Lookup(Contract),Links Quote to related Contract,Contract.Name,Contract.Id,Should populate once the related Master Contract has been generated (first New Business Contract on the Account),,,,,,,
Quote,Quote,Sales Transaction Type,SalesTransactionTypeId,Lookup(Sales Transaction Type),Links Quote to Sales Transaction Type for RLM,Sales Transaction Type,SalesTransactionType.Id,Sales Transaction Type Id for New Business = 1ChaZ000000F60HSAS,Record Creation Only,Create_Initial_Quote_Techvera_Lifecycle,3,"
Autolaunched No Trigger Flow",,,
Quote,Quote,Sales Rep,SalesRep__c,Lookup(User),,,,,,,,,,,
