Object/Custom Metadata Type Field Label is Located On,Object/Custom Metadata Type Field API Name is Located On,Field Label,Field API Name,Data Type,Field Description,Should Carry Over Values or Mappings from Object/Metadata Table,Should Carry Over Values or Mappings from Object/Metadata Table API Name,Expected Automation Behavior,Behavior Needs to Occur When?,Current Flow API Name with Expected Automation Behavior,Flow Version,Process Type,Trigger,Flow Triggering Autolaunch Flow?,Trigger Flow Version
Automation Toggle,Automation_Toggles__mdt,Disable RLM Automation,Disable_RLM_Automation__c,Checkbox,Disables all RLM Automation,,,"GET RECORDS: Metadata Record Name = Default

DECISON: Has the Automation been Disabled?
EQUALS TRUE Ends Automation
EQUALS FALSE Continues to Next Flow Step",Record Creation or Record Update,,,,,,
Automation Toggle,Automation_Toggles__mdt,Disable_QuoteLine_Automation,Disable_QuoteLine_Automation__c,Checkbox,Disables all Quote Automation,,,"GET RECORDS: Metadata Record Name = Default

DECISON: Has the Automation been Disabled?
EQUALS TRUE Ends Automation
EQUALS FALSE Continues to Next Flow Step",Record Creation or Record Update,,,,,,
Automation Toggle,Automation_Toggles__mdt,Disable_Hardware_Only_QuoteLine_Auto,Disable_Hardware_Only_QuoteLine_Auto__c,Checkbox,Disables only Hardware Quotes,QuoteLineItem.Hardware Product?,QuoteLineItem.Hardware_Product__c,"GET RECORDS: Metadata Record Name = Default

DECISON: Has the Automation been Disabled?
EQUALS TRUE Ends Automation
EQUALS FALSE Continues to Next Flow Step",Record Creation or Record Update,,,,,,
QuoteLineItem,QuoteLineItem,Product,Product2,Lookup(Product2),Links Quote Line to Product2,Product2,Product2.Id,"This is the Product that should pull into the Quote Line

These Quote Lines should also show up in the Partner Subscription related list on the Quote Line Item record with the following information:
- Partner Subscription Name
- Product Name
- Quantity
- Opportunity
- Quote
- Quote
- Contract
- Asset

Do_Not_Sync__c MUST be checked for these QuoteLineItems",Record Creation Only,Add_QuoteLineItem_to_Quote_Techvera_Lifecycle,1,"
Autolaunched No Trigger Flow",,,
QuoteLineItem,QuoteLineItem,Pricebook,Pricebook2Id,Lookup(Pricebook2),Links Quote Line to Standard Pricebook2,Pricebook2 Standard Pricebook,Pricebook2.Id,Standard Pricebook2 Id = 01sao000003VWRhAAO,Record Creation Only,Add_QuoteLineItem_to_Quote_Techvera_Lifecycle,1,"
Autolaunched No Trigger Flow",,,
Partner Subscription,Partner_Subscription__c,Quote Line Item,Quote_Line_Item__c,Lookup(Quote Line Item),Links PartnerSubscription to Quote (Related List),Quote Line Item,QuoteLineItem.Id,Connects Custom Object Partner Subscriptions to Quote Line Item,Record Creation Only,,,,,,
QuoteLineItem,QuoteLineItem,Hardware Product?,Hardware_Product__c,Checkbox,Identifies if the Quote Line Product is a Hardware Product,Product2.Hardware Product?,Product2.Hardware_Product__c,"GET RECORDS: Get Quote Line Records

DECISION: Is Hardware Product Checked?
Yes, Hardware Product
ASSIGNMENT: Set Quote Hardware Quote EQUALS TRUE Continues to Next Flow Step
Default Outcome Continues to Next Flow Step",Record Creation Only,Add_QuoteLineItem_to_Quote_Techvera_Lifecycle,1,"
Autolaunched No Trigger Flow",,,
QuoteLineItem,QuoteLineItem,Revenue Calculation Status,Revenue_Calculation_Status__c,Picklist,Provides the status for calculation fields tied to the Revenue Lifecycle.,,,"If currency fields have populated on the Quote Line (fields like ARR, MRR, etc), this status field should be set to ""Calculated""
If currency fields are blank, this status field should be set to ""Not Calculated""
If any issues occur and oinly some of the currency fields have been calculated. this status should be set to ""Error""",Record Creation or Record Update,,,,,,
QuoteLineItem,QuoteLineItem,Legacy Record?,Legacy__c,Checkbox,Identifies if it is a Legacy record,,,"ASSIGNMENT: Set Quote Line Fields
EQUALS False",Record Creation Only,Add_QuoteLineItem_to_Quote_Techvera_Lifecycle,1,"
Autolaunched No Trigger Flow",,,
QuoteLineItem,QuoteLineItem,ARR,ARR__c,Currency,Identifies Quote Line ARR,,,"Should use this formula to populate:
MRR__c x 12",Record Creation or Record Update,,,,,,
QuoteLineItem,QuoteLineItem,MRR,MRR__c,Currency,Identifies Quote Line MRR,,,"Should use this formula to populate: 
Net_Total_Price__c x 12 (Monthly payment)",Record Creation or Record Update,,,,,,
QuoteLineItem,QuoteLineItem,Delta ARR,Delta_ARR__c,Currency,Identifies Quote Line Delta ARR,,,"Should use this formula to populate (will add additional ARR values like Churn, etc later):
MRR__c x 12",Record Creation or Record Update,,,,,,
QuoteLineItem,QuoteLineItem,One Time Amount,One_Time_Amount__c,Currency,Identifies if the Quote Line has a Charge Type = One-Time and puts the total amount here,,,"If Quote Line Charge Type = One-Time, this field should match the Total Price",Record Creation or Record Update,,,,,,
QuoteLineItem,QuoteLineItem,Recurring Amount,Recurring_Amount__c,Currency,Identifies if the Quote Line has a Charge Type = Recurring and puts the total amount here,,,"If Quote Line Charge Type = Recurring, this field should match the Total Price",Record Creation or Record Update,,,,,,
QuoteLineItem,QuoteLineItem,Renewal Amount ARR,Renewal_Amount_ARR__c,Currency,Identifies if the Quote Line Auto-Renews and puts the total amount here,,,"If Quote Line Automatically Renew = TRUE, this field should match the Total Price",Record Creation or Record Update,,,,,,
QuoteLineItem,QuoteLineItem,Up For Renewal Amount ARR,Up_For_Renewal_Amount_ARR__c,Currency,Identifies if the Quote Line Auto-Renews and puts the total amount here,,,"If Quote Line Automatically Renew = TRUE, this field should match the Total Price",Record Creation or Record Update,,,,,,
